clusterId,clusterKind,riskScore,declarationCount,domains,canonicalDtoCandidate,signatureHash,signaturePreview,declarations
near-0011,near-shape,18,2,feature:filemaker|shared,,65ed7154815f,prop:kind:'summary'; prop:text:string,src/features/filemaker/components/cv-builder/cv-block-model.ts:undefined:CvSummaryBlock|src/shared/utils/prompt-params/scanner.ts:undefined:Segment
exact-0071,exact-shape,17,2,feature:playwright|shared,,1742801c1ba3,prop:id:string; prop:name:string,src/features/playwright/step-sequencer-master-tree.ts:undefined:StepSeqWebsiteInfo|src/shared/lib/browser-execution/sequencers/tradera-listing-form-category-picker.ts:undefined:TraderaListingFormCategoryPickerItem
exact-0061,exact-shape,15,2,feature:integrations|shared,,e6ffbf4bbbcb,'auto' | 'brave' | 'chrome' | 'chromium',src/features/integrations/services/pracuj-browser-auth.ts:undefined:PracujBrowserPreference|src/shared/lib/playwright/browser-launch.ts:undefined:PlaywrightBrowserPreference
exact-0072,exact-shape,13,2,feature:products|shared,,b34d32bf9f47,prop:code:string; prop:name:string,src/features/products/components/form/ProductFormGeneral.types.ts:undefined:ProductFormLanguage|src/shared/constants/countries.ts:undefined:CountryCodeOption
near-0042,near-shape,13,2,feature:products|shared,,2b01d310aaab,prop:end:number; prop:start:number,src/features/products/components/form/StructuredProductNameField.types.ts:undefined:SegmentBounds|src/shared/ui/cms-appearance/appearance-logic/CmsStorefrontAppearance.accent-vars.ts:undefined:KangurAccentThemeInput
near-0048,near-shape,11,2,shared,,e7162cb4e90e,"prop:_id:string; prop:createdAt:Date | string; prop:entityId?:string | null; prop:entityType?:string | null; prop:errorMessage?:string | null; prop:finishedAt?:Date | string | null; prop:graph?:Record<string, unknown> | null; prop:id?:string",src/shared/lib/ai-paths/services/path-run-repository/methods/repository-shared.ts:undefined:RunDocument|src/shared/lib/db/services/database-sync-types.ts:undefined:MongoAiPathRunDoc
exact-0062,exact-shape,10,2,feature:job-board|shared,,e78a58377723,prop:title:string; prop:url:string,src/features/job-board/server/providers/job-board-sync.ts:undefined:JobBoardCollectedOfferLink|src/shared/lib/browser-execution/sequencers/JobBoardScrapeSequencer.ts:undefined:JobBoardCollectedOfferLink
exact-0089,exact-shape,10,2,shared|shared:contracts,,49c0fe067aec,OAuthTokenResponseDto,src/shared/contracts/integrations/oauth.ts:undefined:OAuthTokenResponse|src/shared/lib/oauth/google-oauth.ts:undefined:GoogleOAuthTokenResponse
near-0025,near-shape,10,2,feature:filemaker|shared,,2d1d5c0509d3,prop:message:string; prop:variant:'success' | 'warning',src/features/filemaker/filemaker-organization-scrape-client.ts:undefined:ScrapeToast|src/shared/lib/base-order-quick-import-feedback.ts:undefined:BaseOrderQuickImportFeedback
near-0047,near-shape,10,2,feature:products|shared,,73995b6dfab6,"prop:capture:( params: Omit<TParams, keyof TBaseParams> ) => Promise<TObservation | null>; prop:observeLoop:( options: Omit< ProductScanVerificationBarrierObserveLoopWithPageOptions< TState, TBaseParams, TParams, TObservation, TExtra >, | 'verificationState' | 'resolveCurrentUrl' | 'page' | 'artifacts' | 'log' | 'upsertStep' | 'baseParams' > ) => Promise<PlaywrightObservationLoopResult<TState, TObservation>>",src/features/products/server/product-scan-verification.runtime-types.ts:undefined:ProductScanVerificationBarrierBoundPageSession|src/shared/lib/browser-execution/sequencers/ProductScanSequencer.ts:undefined:ProductScanManualVerificationCaptureSession
exact-0094,exact-shape,9,2,shared,,0e700aa2dc3e,prop:size?:'xs' | 'sm' | 'default'; prop:variant?:'default' | 'subtle',src/shared/ui/input.tsx:undefined:InputProps|src/shared/ui/textarea.tsx:undefined:TextareaProps
near-0050,near-shape,9,2,shared,,e597e434c9e5,prop:completedAt:string | null; prop:details:Array<{ label: string; value?: string | null }>; prop:durationMs:number | null; prop:key:string; prop:label:string; prop:message:string | null; prop:startedAt:string | null; prop:status:FilemakerOrganizationPresenceStepStatus,src/shared/lib/browser-execution/sequencers/FilemakerOrganizationPresenceSequencer.ts:undefined:FilemakerOrganizationPresenceStep|src/shared/lib/browser-execution/sequencers/JobBoardScrapeSequencer.ts:undefined:JobBoardScrapeStep
exact-0090,exact-shape,8,2,shared,,464ee26b2e97,string | string[],src/shared/lib/browser-execution/selectors/amazon.ts:undefined:AmazonSelectorRegistryValue|src/shared/lib/browser-execution/selectors/supplier-1688.ts:undefined:Supplier1688SelectorRegistryValue
exact-0091,exact-shape,8,2,shared,,8fe1031fbe9d,'string' | 'string_array',src/shared/lib/browser-execution/selectors/amazon.ts:undefined:AmazonSelectorRegistryValueType|src/shared/lib/browser-execution/selectors/supplier-1688.ts:undefined:Supplier1688SelectorRegistryValueType
exact-0092,exact-shape,8,2,shared,,c35cbe52f0f7,'selector' | 'text_hint' | 'pattern',src/shared/lib/browser-execution/selectors/amazon.ts:undefined:AmazonSelectorRegistryKind|src/shared/lib/browser-execution/selectors/supplier-1688.ts:undefined:Supplier1688SelectorRegistryKind
exact-0093,exact-shape,8,2,shared,,37bdafa654d9,| 'pending' | 'running' | 'completed' | 'failed' | 'skipped',src/shared/lib/browser-execution/sequencers/FilemakerOrganizationPresenceSequencer.ts:undefined:FilemakerOrganizationPresenceStepStatus|src/shared/lib/browser-execution/sequencers/JobBoardScrapeSequencer.ts:undefined:JobBoardScrapeStepStatus
near-0049,near-shape,8,2,shared,,98daf33bce3f,prop:description:string; prop:key:string; prop:kind:AmazonSelectorRegistryKind; prop:label:string; prop:role:SelectorRegistryRole; prop:value:AmazonSelectorRegistryValue,src/shared/lib/browser-execution/selectors/amazon.ts:undefined:AmazonSelectorRegistryDefinition|src/shared/lib/browser-execution/selectors/supplier-1688.ts:undefined:Supplier1688SelectorRegistryDefinition
